Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

01:18:30 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:18:31 PM     0        17    0.00    0.95    0.00    0.00    0.95     0  ksoftirqd/0
01:18:31 PM     0        18    0.00    0.95    0.00    0.00    0.95     7  rcu_preempt
01:18:31 PM   123      1231    0.00    0.95    0.00    0.00    0.95     6  mysqld
01:18:31 PM  1000      2244   12.38    4.76    0.00    0.00   17.14     4  gnome-shell
01:18:31 PM  1000      2401    1.90    0.95    0.00    0.00    2.86     0  ibus-daemon
01:18:31 PM  1000      2586    0.95    0.00    0.00    0.00    0.95     4  ibus-extension-
01:18:31 PM  1000      2730    0.95    0.95    0.00    0.00    1.90     4  ibus-engine-sim
01:18:31 PM  1000      2922    0.95    0.00    0.00    0.00    0.95     5  xdg-desktop-por
01:18:31 PM  1000     31496    0.95    0.00    0.00    0.00    0.95     0  Privileged Cont
01:18:31 PM  1000     32490   15.24    0.00    0.00    0.00   15.24     1  gnome-terminal-
01:18:31 PM  1000     32683    0.95    0.95    0.00    0.00    1.90     6  top
01:18:31 PM  1000     35381    0.95    0.95    0.00    0.00    1.90     6  pidstat

01:18:31 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:18:32 PM     0       730    0.00    1.00    0.00    0.00    1.00     0  irq/135-rtw88_pci
01:18:32 PM   123      1231    1.00    0.00    0.00    0.00    1.00     6  mysqld
01:18:32 PM  1000      2244   11.00    4.00    0.00    1.00   15.00     5  gnome-shell
01:18:32 PM  1000     31254    0.00    1.00    0.00    0.00    1.00     7  firefox
01:18:32 PM  1000     32490   31.00   11.00    0.00    0.00   42.00     7  gnome-terminal-
01:18:32 PM  1000     32781    1.00    0.00    0.00    0.00    1.00     4  bash
01:18:32 PM     0     32804    0.00    2.00    0.00    0.00    2.00     4  kworker/u32:1-events_unbound
01:18:32 PM  1000     33372    1.00    0.00    0.00    0.00    1.00     5  nautilus
01:18:32 PM     0     33399    0.00    1.00    0.00    0.00    1.00     5  kworker/u32:2-events_unbound
01:18:32 PM     0     34996    0.00    1.00    0.00    0.00    1.00     5  kworker/u32:4-events_unbound
01:18:32 PM     0     35197    0.00    1.00    0.00    0.00    1.00     3  kworker/u33:0-i915_flip
01:18:32 PM  1000     35265   45.00   15.00    0.00    0.00   60.00     0  server
01:18:32 PM  1000     35381    1.00    1.00    0.00    0.00    2.00     6  pidstat
01:18:32 PM  1000     35383   52.00   20.00    0.00    0.00   72.00     3  load_generator

01:18:32 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:18:33 PM     0        17    0.00    1.00    0.00    1.00    1.00     0  ksoftirqd/0
01:18:33 PM  1000      2244   18.00    6.00    0.00    0.00   24.00     6  gnome-shell
01:18:33 PM  1000     29425    1.00    0.00    0.00    0.00    1.00     7  code
01:18:33 PM  1000     31777    1.00    0.00    0.00    0.00    1.00     3  Isolated Web Co
01:18:33 PM  1000     32490   46.00   15.00    0.00    0.00   61.00     7  gnome-terminal-
01:18:33 PM     0     32804    0.00    3.00    0.00    0.00    3.00     3  kworker/u32:1-events_unbound
01:18:33 PM     0     33399    0.00    3.00    0.00    0.00    3.00     2  kworker/u32:2-events_unbound
01:18:33 PM     0     34996    0.00    1.00    0.00    0.00    1.00     5  kworker/u32:4-events_unbound
01:18:33 PM     0     35059    0.00    1.00    0.00    1.00    1.00     0  kworker/0:2-i915-unordered
01:18:33 PM     0     35197    0.00    1.00    0.00    0.00    1.00     4  kworker/u33:0-i915_flip
01:18:33 PM  1000     35265   68.00   24.00    0.00    0.00   92.00     0  server
01:18:33 PM   122     35277    1.00    0.00    0.00    0.00    1.00     2  postgres
01:18:33 PM   122     35282    1.00    0.00    0.00    0.00    1.00     5  postgres
01:18:33 PM  1000     35381    1.00    2.00    0.00    0.00    3.00     1  pidstat
01:18:33 PM  1000     35383   75.00   28.00    0.00    0.00  103.00     3  load_generator

01:18:33 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:18:34 PM     0        17    0.00    1.00    0.00    0.00    1.00     0  ksoftirqd/0
01:18:34 PM     0        63    0.00    1.00    0.00    0.00    1.00     7  ksoftirqd/7
01:18:34 PM  1000      2244   21.00    3.00    0.00    0.00   24.00     1  gnome-shell
01:18:34 PM  1000      2401    1.00    0.00    0.00    0.00    1.00     7  ibus-daemon
01:18:34 PM  1000      2640    0.00    1.00    0.00    0.00    1.00     1  goa-identity-se
01:18:34 PM  1000     31254    1.00    0.00    0.00    0.00    1.00     7  firefox
01:18:34 PM  1000     32490   50.00   15.00    0.00    1.00   65.00     1  gnome-terminal-
01:18:34 PM  1000     32683    0.00    1.00    0.00    0.00    1.00     6  top
01:18:34 PM     0     32804    0.00    2.00    0.00    1.00    2.00     7  kworker/u32:1-events_unbound
01:18:34 PM     0     33399    0.00    3.00    0.00    0.00    3.00     6  kworker/u32:2-events_unbound
01:18:34 PM     0     34996    0.00    1.00    0.00    1.00    1.00     6  kworker/u32:4-events_unbound
01:18:34 PM     0     35197    0.00    1.00    0.00    1.00    1.00     7  kworker/u33:0+i915_flip
01:18:34 PM  1000     35265   64.00   23.00    0.00    0.00   87.00     0  server
01:18:34 PM   122     35266    1.00    0.00    0.00    0.00    1.00     4  postgres
01:18:34 PM   122     35268    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:34 PM   122     35269    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:34 PM   122     35271    1.00    0.00    0.00    0.00    1.00     5  postgres
01:18:34 PM   122     35274    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:34 PM   122     35278    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:34 PM   122     35279    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:34 PM   122     35280    0.00    1.00    0.00    0.00    1.00     5  postgres
01:18:34 PM   122     35284    1.00    0.00    0.00    0.00    1.00     3  postgres
01:18:34 PM   122     35285    1.00    0.00    0.00    0.00    1.00     5  postgres
01:18:34 PM   122     35288    1.00    0.00    0.00    0.00    1.00     5  postgres
01:18:34 PM   122     35291    1.00    0.00    0.00    0.00    1.00     2  postgres
01:18:34 PM   122     35292    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:34 PM   122     35296    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:34 PM   122     35298    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:34 PM   122     35299    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:34 PM   122     35301    1.00    0.00    0.00    0.00    1.00     1  postgres
01:18:34 PM   122     35302    1.00    0.00    0.00    0.00    1.00     5  postgres
01:18:34 PM   122     35305    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:34 PM   122     35307    1.00    0.00    0.00    0.00    1.00     4  postgres
01:18:34 PM   122     35312    1.00    0.00    0.00    0.00    1.00     2  postgres
01:18:34 PM   122     35313    1.00    0.00    0.00    0.00    1.00     1  postgres
01:18:34 PM   122     35317    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:34 PM   122     35318    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:34 PM   122     35319    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:34 PM   122     35342    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:34 PM   122     35346    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:34 PM   122     35348    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:34 PM   122     35352    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:34 PM   122     35353    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:34 PM   122     35360    1.00    0.00    0.00    0.00    1.00     2  postgres
01:18:34 PM  1000     35381    1.00    1.00    0.00    0.00    2.00     3  pidstat
01:18:34 PM  1000     35383   71.00   26.00    0.00    0.00   97.00     3  load_generator

01:18:34 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:18:35 PM     0        17    0.00    1.00    0.00    0.00    1.00     0  ksoftirqd/0
01:18:35 PM     0        18    0.00    1.00    0.00    0.00    1.00     7  rcu_preempt
01:18:35 PM     0        74    0.00    1.00    0.00    0.00    1.00     2  kcompactd0
01:18:35 PM     0       189    0.00    1.00    0.00    0.00    1.00     6  kworker/6:1H-i915_cleanup
01:18:35 PM     0       496    0.00    1.00    0.00    0.00    1.00     0  irq/80-ELAN0620:01
01:18:35 PM   123      1231    1.00    1.00    0.00    0.00    2.00     6  mysqld
01:18:35 PM  1000      2244    8.00    3.00    0.00    0.00   11.00     7  gnome-shell
01:18:35 PM  1000     31777    1.00    0.00    0.00    0.00    1.00     1  Isolated Web Co
01:18:35 PM  1000     32490   32.00   19.00    0.00    0.00   51.00     1  gnome-terminal-
01:18:35 PM     0     32804    0.00    1.00    0.00    0.00    1.00     7  kworker/u32:1-events_unbound
01:18:35 PM     0     33399    0.00    2.00    0.00    0.00    2.00     6  kworker/u32:2-events_unbound
01:18:35 PM     0     34996    0.00    4.00    0.00    0.00    4.00     5  kworker/u32:4-events_unbound
01:18:35 PM     0     35059    0.00    1.00    0.00    1.00    1.00     0  kworker/0:2-i915-unordered
01:18:35 PM  1000     35265   69.00   23.00    0.00    0.00   92.00     0  server
01:18:35 PM   122     35267    1.00    0.00    0.00    0.00    1.00     5  postgres
01:18:35 PM   122     35270    1.00    0.00    0.00    0.00    1.00     5  postgres
01:18:35 PM   122     35272    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:35 PM   122     35275    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:35 PM   122     35276    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:35 PM   122     35281    1.00    0.00    0.00    0.00    1.00     2  postgres
01:18:35 PM   122     35283    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:35 PM   122     35286    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:35 PM   122     35293    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:35 PM   122     35303    1.00    0.00    0.00    0.00    1.00     2  postgres
01:18:35 PM   122     35304    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:35 PM   122     35309    1.00    0.00    0.00    0.00    1.00     6  postgres
01:18:35 PM   122     35311    1.00    0.00    0.00    0.00    1.00     5  postgres
01:18:35 PM   122     35314    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:35 PM   122     35315    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:35 PM   122     35320    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:35 PM   122     35321    1.00    0.00    0.00    0.00    1.00     7  postgres
01:18:35 PM   122     35326    1.00    0.00    0.00    0.00    1.00     6  postgres
