Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

12:58:53 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:58:54 PM     0        17    0.00    0.98    0.00    0.00    0.98     0  ksoftirqd/0
12:58:54 PM     0       730    0.00    0.98    0.00    0.00    0.98     0  irq/135-rtw88_pci
12:58:54 PM   123      1231    0.98    0.00    0.00    0.00    0.98     6  mysqld
12:58:54 PM     0      1651    0.98    0.00    0.00    0.00    0.98     2  upowerd
12:58:54 PM  1000      2244   12.75    2.94    0.00    0.00   15.69     6  gnome-shell
12:58:54 PM  1000      2401    1.96    0.00    0.00    0.00    1.96     6  ibus-daemon
12:58:54 PM  1000      2586    0.98    0.00    0.00    0.00    0.98     3  ibus-extension-
12:58:54 PM  1000      2730    0.98    0.98    0.00    0.00    1.96     3  ibus-engine-sim
12:58:54 PM     0     29023    0.00    0.98    0.00    0.00    0.98     5  kworker/5:2-events
12:58:54 PM  1000     30949    0.98    0.00    0.00    0.00    0.98     3  code
12:58:54 PM  1000     32490   13.73    0.00    0.00    0.00   13.73     7  gnome-terminal-
12:58:54 PM  1000     33077    7.84    0.00    0.00    0.00    7.84     2  gedit
12:58:54 PM  1000     33372    1.96    0.98    0.00    0.00    2.94     6  nautilus
12:58:54 PM  1000     33605    0.98    0.00    0.00    0.00    0.98     5  code
12:58:54 PM  1000     34361    0.00    0.98    0.00    0.00    0.98     1  pidstat

12:58:54 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:58:55 PM     0       496    0.00    0.99    0.00    0.00    0.99     0  irq/80-ELAN0620:01
12:58:55 PM   123      1231    0.99    0.99    0.00    0.00    1.98     6  mysqld
12:58:55 PM  1000      2029    0.99    0.00    0.00    0.00    0.99     1  dbus-daemon
12:58:55 PM  1000      2244   23.76    7.92    0.00    0.00   31.68     1  gnome-shell
12:58:55 PM  1000      2401    1.98    0.99    0.00    0.00    2.97     4  ibus-daemon
