Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

01:09:55 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:09:59 PM   122     34907    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34908    1.00    0.00    0.00    0.00    1.00     4  postgres
01:09:59 PM   122     34909    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34911    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34912    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34917    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM   122     34924    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34925    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34926    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34928    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34929    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34936    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34937    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM   122     34938    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34939    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34942    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34951    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34952    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM   122     34953    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34954    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM   122     34955    1.00    0.00    0.00    0.00    1.00     3  postgres
01:09:59 PM   122     34957    1.00    0.00    0.00    0.00    1.00     1  postgres
01:09:59 PM   122     34966    1.00    0.00    0.00    0.00    1.00     5  postgres
01:09:59 PM   122     34969    1.00    0.00    0.00    0.00    1.00     1  postgres
01:09:59 PM   122     34980    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM   122     34985    1.00    0.00    0.00    0.00    1.00     6  postgres
01:09:59 PM   122     34986    1.00    0.00    0.00    0.00    1.00     1  postgres
01:09:59 PM   122     34987    1.00    0.00    0.00    0.00    1.00     7  postgres
01:09:59 PM     0     34996    0.00    3.00    0.00    0.00    3.00     4  kworker/u32:4-events_unbound
01:09:59 PM  1000     34999    0.00    1.00    0.00    0.00    1.00     3  pidstat
01:09:59 PM  1000     35001   71.00   29.00    0.00    0.00  100.00     1  load_generator

01:09:59 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:00 PM     0        74    0.00    1.98    0.00    0.00    1.98     6  kcompactd0
01:10:00 PM  1000      2244    4.95    0.99    0.00    0.00    5.94     3  gnome-shell
01:10:00 PM  1000      2401    0.99    0.00    0.00    0.00    0.99     7  ibus-daemon
01:10:00 PM  1000      2730    0.99    0.00    0.00    0.00    0.99     0  ibus-engine-sim
01:10:00 PM     0     32339    0.00    0.99    0.00    0.00    0.99     6  kworker/u32:0-events_unbound
01:10:00 PM  1000     32490   22.77   21.78    0.00    0.00   44.55     1  gnome-terminal-
01:10:00 PM  1000     32683    0.99    0.99    0.00    0.00    1.98     3  top
01:10:00 PM     0     33399    0.00    2.97    0.00    0.00    2.97     5  kworker/u32:2-events_unbound
01:10:00 PM  1000     34894   74.26   21.78    0.00    0.00   96.04     0  server
01:10:00 PM   122     34898    0.99    0.00    0.00    0.00    0.99     5  postgres
01:10:00 PM   122     34901    0.99    0.00    0.00    0.00    0.99     2  postgres
01:10:00 PM   122     34902    0.99    0.00    0.00    0.00    0.99     6  postgres
01:10:00 PM   122     34903    0.99    0.00    0.00    0.00    0.99     2  postgres
01:10:00 PM   122     34905    0.99    0.00    0.00    0.00    0.99     5  postgres
01:10:00 PM   122     34906    0.99    0.00    0.00    0.00    0.99     7  postgres
01:10:00 PM   122     34910    0.99    0.00    0.00    0.00    0.99     7  postgres
01:10:00 PM   122     34916    0.99    0.00    0.00    0.00    0.99     2  postgres
01:10:00 PM   122     34918    0.99    0.00    0.00    0.00    0.99     5  postgres
01:10:00 PM   122     34920    0.99    0.00    0.00    0.00    0.99     5  postgres
