Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

12:40:05 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:40:06 PM     0        18    0.00    0.98    0.00    0.00    0.98     5  rcu_preempt
12:40:06 PM     0        74    0.00    4.90    0.00    0.00    4.90     1  kcompactd0
12:40:06 PM     0       496    0.00    0.98    0.00    0.00    0.98     0  irq/80-ELAN0620:01
12:40:06 PM   101       767    0.98    0.00    0.00    0.00    0.98     5  dbus-daemon
12:40:06 PM  1000      2244    1.96    0.98    0.00    0.00    2.94     7  gnome-shell
12:40:06 PM     0     28382    0.00    2.94    0.00    0.00    2.94     7  kworker/u32:26-events_unbound
12:40:06 PM     0     32339    0.00    0.98    0.00    0.00    0.98     5  kworker/u32:0-events_unbound
12:40:06 PM     0     32390    0.00    0.98    0.00    0.00    0.98     6  kworker/u33:1+i915_flip
12:40:06 PM     0     32454    0.00    2.94    0.00    0.00    2.94     7  kworker/u32:6-events_unbound
12:40:06 PM  1000     32490   19.61   17.65    0.00    0.00   37.25     6  gnome-terminal-
12:40:06 PM  1000     32844   57.84   15.69    0.00    0.00   73.53     0  server
12:40:06 PM   122     32851    0.98    0.00    0.00    0.00    0.98     5  postgres
12:40:06 PM   122     32856    0.98    0.00    0.00    0.00    0.98     5  postgres
12:40:06 PM   122     32857    0.98    0.00    0.00    0.00    0.98     5  postgres
12:40:06 PM   122     32875    0.98    0.00    0.00    0.00    0.98     2  postgres
12:40:06 PM   122     32904    0.98    0.00    0.00    0.00    0.98     6  postgres
12:40:06 PM  1000     32994   65.69   20.59    0.00    0.00   86.27     1  load_generator
12:40:06 PM  1000     33002    0.98    0.98    0.00    0.00    1.96     4  pidstat

12:40:06 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:40:07 PM   123      1231    1.00    0.00    0.00    0.00    1.00     6  mysqld
12:40:07 PM  1000      2244    6.00    1.00    0.00    0.00    7.00     7  gnome-shell
12:40:07 PM  1000      2401    1.00    0.00    0.00    0.00    1.00     6  ibus-daemon
12:40:07 PM     0     28382    0.00    2.00    0.00    0.00    2.00     5  kworker/u32:26-events_unbound
12:40:07 PM  1000     29120    1.00    0.00    0.00    0.00    1.00     7  gjs
12:40:07 PM  1000     29265    1.00    0.00    0.00    0.00    1.00     5  code
12:40:07 PM     0     32454    0.00    2.00    0.00    0.00    2.00     7  kworker/u32:6-events_unbound
12:40:07 PM  1000     32490   19.00   19.00    0.00    0.00   38.00     3  gnome-terminal-
12:40:07 PM  1000     32844   59.00   18.00    0.00    0.00   77.00     0  server
12:40:07 PM   122     32847    1.00    0.00    0.00    0.00    1.00     5  postgres
12:40:07 PM   122     32854    1.00    0.00    0.00    0.00    1.00     6  postgres
12:40:07 PM   122     32869    1.00    0.00    0.00    0.00    1.00     1  postgres
12:40:07 PM   122     32871    1.00    0.00    0.00    0.00    1.00     1  postgres
12:40:07 PM   122     32883    1.00    0.00    0.00    0.00    1.00     4  postgres
12:40:07 PM   122     32884    1.00    0.00    0.00    0.00    1.00     2  postgres
12:40:07 PM   122     32890    1.00    0.00    0.00    0.00    1.00     5  postgres
12:40:07 PM   122     32891    1.00    0.00    0.00    0.00    1.00     7  postgres
12:40:07 PM   122     32895    1.00    0.00    0.00    0.00    1.00     5  postgres
12:40:07 PM   122     32899    1.00    0.00    0.00    0.00    1.00     3  postgres
12:40:07 PM   122     32907    1.00    0.00    0.00    0.00    1.00     6  postgres
12:40:07 PM   122     32913    1.00    0.00    0.00    0.00    1.00     1  postgres
12:40:07 PM   122     32915    1.00    0.00    0.00    0.00    1.00     2  postgres
12:40:07 PM   122     32931    1.00    0.00    0.00    0.00    1.00     2  postgres
12:40:07 PM   122     32932    1.00    0.00    0.00    0.00    1.00     2  postgres
12:40:07 PM   122     32933    1.00    0.00    0.00    0.00    1.00     3  postgres
12:40:07 PM   122     32935    1.00    0.00    0.00    0.00    1.00     2  postgres
12:40:07 PM   122     32936    1.00    0.00    0.00    0.00    1.00     7  postgres
12:40:07 PM   122     32939    1.00    0.00    0.00    0.00    1.00     3  postgres
12:40:07 PM  1000     32994   61.00   18.00    0.00    0.00   79.00     1  load_generator
12:40:07 PM  1000     33002    1.00    2.00    0.00    0.00    3.00     4  pidstat

12:40:07 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
