Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

01:26:16 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:26:17 PM   123      1231    0.98    0.00    0.00    0.00    0.98     6  mysqld
01:26:17 PM  1000      2244   14.71    2.94    0.00    0.00   17.65     7  gnome-shell
01:26:17 PM  1000      2401    1.96    0.98    0.00    0.00    2.94     2  ibus-daemon
01:26:17 PM  1000      2586    0.98    0.00    0.00    0.00    0.98     0  ibus-extension-
01:26:17 PM  1000      2730    0.98    0.00    0.00    0.00    0.98     7  ibus-engine-sim
01:26:17 PM  1000     31254    0.98    0.00    0.00    0.00    0.98     5  firefox
01:26:17 PM     0     32339    0.00    0.98    0.00    0.00    0.98     7  kworker/u32:0-events_unbound
01:26:17 PM  1000     32490   23.53    1.96    0.00    0.00   25.49     3  gnome-terminal-
01:26:17 PM  1000     33372    0.98    0.00    0.00    0.00    0.98     5  nautilus
01:26:17 PM     0     33399    0.00    0.98    0.00    0.00    0.98     5  kworker/u32:2-events_unbound
01:26:17 PM  1000     33605    0.00    0.98    0.00    0.00    0.98     4  code
01:26:17 PM  1000     35641   10.78    3.92    0.00    0.00   14.71     0  server
01:26:17 PM  1000     35745    0.98    0.98    0.00    0.00    1.96     1  pidstat
01:26:17 PM  1000     35747   11.76    5.88    0.00    0.00   17.65     3  load_generator

01:26:17 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:26:18 PM     0        17    0.00    1.00    0.00    0.00    1.00     0  ksoftirqd/0
01:26:18 PM  1000      2244   18.00    6.00    0.00    1.00   24.00     7  gnome-shell
01:26:18 PM  1000      2401    1.00    0.00    0.00    0.00    1.00     7  ibus-daemon
01:26:18 PM  1000     29425    0.00    1.00    0.00    0.00    1.00     1  code
01:26:18 PM     0     32339    0.00    3.00    0.00    0.00    3.00     6  kworker/u32:0+events_unbound
01:26:18 PM  1000     32490   47.00   16.00    0.00    1.00   63.00     4  gnome-terminal-
01:26:18 PM     0     33399    0.00    3.00    0.00    0.00    3.00     2  kworker/u32:2-events_unbound
01:26:18 PM     0     35059    0.00    1.00    0.00    1.00    1.00     0  kworker/0:2-events
01:26:18 PM     0     35494    0.00    1.00    0.00    0.00    1.00     2  kworker/u33:1-i915_flip
01:26:18 PM  1000     35641   67.00   22.00    0.00    0.00   89.00     0  server
01:26:18 PM   122     35680    1.00    0.00    0.00    0.00    1.00     5  postgres
01:26:18 PM  1000     35745    1.00    1.00    0.00    0.00    2.00     5  pidstat
01:26:18 PM  1000     35747   76.00   28.00    0.00    0.00  104.00     3  load_generator

01:26:18 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:26:19 PM     0        18    0.00    1.00    0.00    0.00    1.00     3  rcu_preempt
01:26:19 PM  1000      2029    0.00    1.00    0.00    0.00    1.00     3  dbus-daemon
01:26:19 PM  1000      2244    7.00    3.00    0.00    0.00   10.00     7  gnome-shell
01:26:19 PM  1000      2401    1.00    0.00    0.00    0.00    1.00     4  ibus-daemon
01:26:19 PM  1000     31476    1.00    0.00    0.00    0.00    1.00     4  Socket Process
01:26:19 PM  1000     31777    1.00    0.00    0.00    0.00    1.00     7  Isolated Web Co
01:26:19 PM     0     32339    0.00    4.00    0.00    0.00    4.00     7  kworker/u32:0-events_unbound
01:26:19 PM  1000     32490   26.00   21.00    0.00    0.00   47.00     6  gnome-terminal-
01:26:19 PM  1000     32683    0.00    1.00    0.00    0.00    1.00     7  top
01:26:19 PM     0     33399    0.00    2.00    0.00    0.00    2.00     3  kworker/u32:2-events_unbound
01:26:19 PM     0     34552    0.00    2.00    0.00    0.00    2.00     6  kworker/u32:3-events_unbound
01:26:19 PM  1000     35641   72.00   23.00    0.00    0.00   95.00     0  server
01:26:19 PM   122     35655    1.00    0.00    0.00    0.00    1.00     1  postgres
01:26:19 PM   122     35660    1.00    0.00    0.00    0.00    1.00     6  postgres
01:26:19 PM   122     35661    1.00    0.00    0.00    0.00    1.00     6  postgres
01:26:19 PM   122     35667    1.00    0.00    0.00    0.00    1.00     5  postgres
01:26:19 PM   122     35669    1.00    0.00    0.00    0.00    1.00     6  postgres
01:26:19 PM   122     35677    1.00    0.00    0.00    0.00    1.00     6  postgres
01:26:19 PM   122     35683    1.00    0.00    0.00    0.00    1.00     6  postgres
01:26:19 PM   122     35711    1.00    0.00    0.00    0.00    1.00     4  postgres
01:26:19 PM   122     35731    1.00    0.00    0.00    0.00    1.00     7  postgres
01:26:19 PM  1000     35745    0.00    2.00    0.00    0.00    2.00     5  pidstat
01:26:19 PM  1000     35747   80.00   28.00    0.00    0.00  108.00     3  load_generator

01:26:19 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:26:20 PM     0       155    0.00    1.00    0.00    0.00    1.00     7  kworker/7:1H-i915_cleanup
01:26:20 PM   123      1231    1.00    0.00    0.00    0.00    1.00     6  mysqld
01:26:20 PM  1000      2244    1.00    0.00    0.00    0.00    1.00     3  gnome-shell
01:26:20 PM  1000     29120    1.00    1.00    0.00    0.00    2.00     5  gjs
01:26:20 PM     0     32339    0.00    1.00    0.00    0.00    1.00     7  kworker/u32:0-events_unbound
01:26:20 PM  1000     32490   22.00   22.00    0.00    0.00   44.00     4  gnome-terminal-
01:26:20 PM     0     33399    0.00    3.00    0.00    0.00    3.00     5  kworker/u32:2-events_unbound
01:26:20 PM     0     34552    0.00    3.00    0.00    0.00    3.00     7  kworker/u32:3-events_unbound
01:26:20 PM  1000     35641   75.00   21.00    0.00    0.00   96.00     0  server
01:26:20 PM   122     35642    1.00    0.00    0.00    0.00    1.00     4  postgres
01:26:20 PM   122     35644    1.00    0.00    0.00    0.00    1.00     5  postgres
01:26:20 PM   122     35645    1.00    0.00    0.00    0.00    1.00     6  postgres
01:26:20 PM   122     35646    1.00    0.00    0.00    0.00    1.00     6  postgres
01:26:20 PM   122     35647    1.00    0.00    0.00    0.00    1.00     5  postgres
