Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

01:35:25 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:35:26 PM     0        33    0.00    0.95    0.00    0.00    0.95     2  ksoftirqd/2
01:35:26 PM     0       327    0.95    0.00    0.00    0.95    0.95     3  systemd-journal
01:35:26 PM   123      1231    0.95    0.95    0.00    0.00    1.90     6  mysqld
01:35:26 PM  1000      2244   13.33    4.76    0.00    0.00   18.10     6  gnome-shell
01:35:26 PM  1000      2401    2.86    0.00    0.00    0.00    2.86     7  ibus-daemon
01:35:26 PM  1000      2586    0.95    0.00    0.00    0.00    0.95     2  ibus-extension-
01:35:26 PM  1000     31779    0.95    0.00    0.00    0.00    0.95     1  Isolated Web Co
01:35:26 PM  1000     32490   20.00    0.95    0.00    0.00   20.95     5  gnome-terminal-
01:35:26 PM  1000     32683    0.95    0.00    0.00    0.00    0.95     0  top
01:35:26 PM  1000     32781    0.00    0.95    0.00    0.00    0.95     2  bash
01:35:26 PM  1000     33372    1.90    0.95    0.00    0.00    2.86     7  nautilus
01:35:26 PM     0     35059    0.00    0.95    0.00    0.95    0.95     0  kworker/0:2-i915-unordered
01:35:26 PM     0     35494    0.00    0.95    0.00    0.00    0.95     7  kworker/u33:1-i915_flip
01:35:26 PM  1000     36138    2.86    2.86    0.00    0.00    5.71     0  server
01:35:26 PM  1000     36244    0.95    1.90    0.00    0.00    2.86     2  pidstat
01:35:26 PM  1000     36246    6.67    2.86    0.00    0.00    9.52     3  load_generator

01:35:26 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:35:27 PM     0        17    0.00    1.00    0.00    0.00    1.00     0  ksoftirqd/0
01:35:27 PM  1000      2244   17.00    4.00    0.00    0.00   21.00     6  gnome-shell
01:35:27 PM  1000      2922    1.00    0.00    0.00    0.00    1.00     7  xdg-desktop-por
01:35:27 PM  1000     29425    1.00    0.00    0.00    0.00    1.00     7  code
01:35:27 PM  1000     32490   43.00   18.00    0.00    0.00   61.00     5  gnome-terminal-
01:35:27 PM     0     33399    0.00    2.00    0.00    0.00    2.00     6  kworker/u32:2-events_unbound
01:35:27 PM     0     34996    0.00    1.00    0.00    0.00    1.00     3  kworker/u32:4-events_unbound
01:35:27 PM     0     36017    0.00    3.00    0.00    0.00    3.00     7  kworker/u32:6-flush-8:0
01:35:27 PM  1000     36138   72.00   20.00    0.00    0.00   92.00     0  server
01:35:27 PM  1000     36244    1.00    1.00    0.00    0.00    2.00     2  pidstat
01:35:27 PM  1000     36246   75.00   29.00    0.00    0.00  104.00     3  load_generator

01:35:27 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:35:28 PM     0        17    0.00    1.00    0.00    1.00    1.00     0  ksoftirqd/0
01:35:28 PM     0       496    0.00    1.00    0.00    0.00    1.00     0  irq/80-ELAN0620:01
01:35:28 PM  1000      2244   17.00    5.00    0.00    0.00   22.00     1  gnome-shell
01:35:28 PM  1000      2401    1.00    0.00    0.00    0.00    1.00     5  ibus-daemon
01:35:28 PM  1000      2730    1.00    0.00    0.00    0.00    1.00     5  ibus-engine-sim
01:35:28 PM  1000     32490   42.00   17.00    0.00    1.00   59.00     7  gnome-terminal-
01:35:28 PM     0     33399    0.00    3.00    0.00    0.00    3.00     6  kworker/u32:2-events_unbound
01:35:28 PM     0     34996    0.00    2.00    0.00    0.00    2.00     5  kworker/u32:4-events_unbound
01:35:28 PM     0     35059    0.00    1.00    0.00    1.00    1.00     0  kworker/0:2-i915-unordered
01:35:28 PM     0     35494    0.00    1.00    0.00    0.00    1.00     1  kworker/u33:1+i915_flip
01:35:28 PM     0     36017    0.00    1.00    0.00    0.00    1.00     5  kworker/u32:6-events_unbound
01:35:28 PM  1000     36138   66.00   23.00    0.00    0.00   89.00     0  server
01:35:28 PM   122     36141    1.00    0.00    0.00    0.00    1.00     6  postgres
01:35:28 PM   122     36146    1.00    0.00    0.00    0.00    1.00     5  postgres
01:35:28 PM   122     36148    1.00    0.00    0.00    0.00    1.00     2  postgres
01:35:28 PM   122     36150    1.00    0.00    0.00    0.00    1.00     3  postgres
01:35:28 PM   122     36156    1.00    0.00    0.00    0.00    1.00     3  postgres
01:35:28 PM   122     36176    1.00    0.00    0.00    0.00    1.00     2  postgres
01:35:28 PM   122     36182    1.00    0.00    0.00    0.00    1.00     6  postgres
01:35:28 PM   122     36200    1.00    0.00    0.00    0.00    1.00     5  postgres
01:35:28 PM   122     36202    1.00    0.00    0.00    0.00    1.00     2  postgres
01:35:28 PM   122     36205    1.00    0.00    0.00    0.00    1.00     7  postgres
01:35:28 PM   122     36214    1.00    0.00    0.00    0.00    1.00     5  postgres
01:35:28 PM   122     36224    1.00    0.00    0.00    0.00    1.00     5  postgres
01:35:28 PM  1000     36244    1.00    2.00    0.00    0.00    3.00     3  pidstat
01:35:28 PM  1000     36246   76.00   28.00    0.00    0.00  104.00     3  load_generator

01:35:28 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:35:29 PM     0       327    0.00    1.00    0.00    0.00    1.00     4  systemd-journal
01:35:29 PM   123      1231    1.00    0.00    0.00    0.00    1.00     6  mysqld
01:35:29 PM  1000      2244    6.00    2.00    0.00    0.00    8.00     6  gnome-shell
01:35:29 PM  1000      2401    2.00    0.00    0.00    0.00    2.00     6  ibus-daemon
01:35:29 PM  1000     32490   24.00   23.00    0.00    0.00   47.00     6  gnome-terminal-
01:35:29 PM  1000     32683    0.00    1.00    0.00    0.00    1.00     7  top
01:35:29 PM     0     33399    0.00    3.00    0.00    1.00    3.00     4  kworker/u32:2-events_unbound
01:35:29 PM     0     34996    0.00    1.00    0.00    0.00    1.00     3  kworker/u32:4-events_unbound
01:35:29 PM     0     36017    0.00    4.00    0.00    0.00    4.00     7  kworker/u32:6-events_unbound
01:35:29 PM  1000     36138   74.00   22.00    0.00    0.00   96.00     0  server
01:35:29 PM   122     36140    1.00    0.00    0.00    0.00    1.00     4  postgres
01:35:29 PM   122     36147    1.00    0.00    0.00    0.00    1.00     5  postgres
01:35:29 PM   122     36152    1.00    0.00    0.00    0.00    1.00     7  postgres
01:35:29 PM   122     36154    1.00    0.00    0.00    0.00    1.00     7  postgres
01:35:29 PM   122     36159    1.00    0.00    0.00    0.00    1.00     7  postgres
01:35:29 PM   122     36160    1.00    0.00    0.00    0.00    1.00     7  postgres
01:35:29 PM   122     36161    1.00    0.00    0.00    0.00    1.00     5  postgres
01:35:29 PM   122     36164    1.00    0.00    0.00    0.00    1.00     7  postgres
01:35:29 PM   122     36166    1.00    0.00    0.00    0.00    1.00     7  postgres
01:35:29 PM   122     36172    1.00    0.00    0.00    0.00    1.00     6  postgres
01:35:29 PM   122     36177    1.00    0.00    0.00    0.00    1.00     2  postgres
