Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

12:51:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:26 PM   122     33925    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:26 PM   122     33926    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:26 PM   122     33930    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:26 PM   122     33932    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:26 PM   122     33936    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:26 PM   122     33944    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:26 PM   122     33945    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:26 PM  1000     33968   80.00   28.00    0.00    0.00  108.00     4  load_generator
12:51:26 PM  1000     33983    1.00    1.00    0.00    0.00    2.00     2  pidstat

12:51:26 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:27 PM     0       496    0.00    1.00    0.00    0.00    1.00     0  irq/80-ELAN0620:01
12:51:27 PM     0       730    0.00    1.00    0.00    0.00    1.00     0  irq/135-rtw88_pci
12:51:27 PM  1000      2244    4.00    1.00    0.00    0.00    5.00     4  gnome-shell
12:51:27 PM  1000      2401    1.00    1.00    0.00    0.00    2.00     6  ibus-daemon
12:51:27 PM  1000     29189    0.00    1.00    0.00    0.00    1.00     1  code
12:51:27 PM  1000     29300    1.00    0.00    0.00    0.00    1.00     6  code
12:51:27 PM  1000     29425    1.00    0.00    0.00    0.00    1.00     5  code
12:51:27 PM  1000     30949    1.00    0.00    0.00    0.00    1.00     7  code
12:51:27 PM  1000     31777    2.00    0.00    0.00    0.00    2.00     6  Isolated Web Co
12:51:27 PM  1000     32490   24.00   21.00    0.00    0.00   45.00     3  gnome-terminal-
12:51:27 PM     0     33399    0.00    4.00    0.00    0.00    4.00     4  kworker/u32:2+events_unbound
12:51:27 PM     0     33725    0.00    3.00    0.00    0.00    3.00     7  kworker/u32:4-events_unbound
12:51:27 PM  1000     33852   70.00   21.00    0.00    0.00   91.00     0  server
12:51:27 PM   122     33855    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:27 PM   122     33859    1.00    1.00    0.00    0.00    2.00     5  postgres
12:51:27 PM   122     33862    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:27 PM   122     33868    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:27 PM   122     33877    0.00    1.00    0.00    0.00    1.00     7  postgres
