Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/20/2025 	_x86_64_	(8 CPU)

10:05:17 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:05:19 AM     0        18    0.00    0.91    0.00    0.00    0.91     4  rcu_preempt
10:05:19 AM     0       111    0.00    0.91    0.00    0.00    0.91     3  kworker/3:1-events
10:05:19 AM  1000      2138   11.82    3.64    0.00    0.00   15.45     7  gnome-shell
10:05:19 AM  1000      2499    0.00    0.91    0.00    0.00    0.91     6  goa-identity-se
10:05:19 AM  1000      2698    0.00    0.91    0.00    0.00    0.91     6  tracker-miner-f
10:05:19 AM  1000      3185    0.00    0.91    0.00    0.00    0.91     6  code
10:05:19 AM  1000      3862    0.91    0.91    0.00    0.00    1.82     7  firefox
10:05:19 AM  1000      4400    0.91    0.00    0.00    0.00    0.91     0  Isolated Web Co
10:05:19 AM  1000      4529   25.45   17.27    0.00    0.00   42.73     7  gnome-terminal-
10:05:19 AM  1000      6605    1.82    0.91    0.00    0.00    2.73     2  nautilus
10:05:19 AM     0      7017    0.00    0.91    0.00    0.00    0.91     6  kworker/u33:2-i915_flip
10:05:19 AM     0      7137    0.00    3.64    0.00    0.00    3.64     4  kworker/u32:0-events_unbound
10:05:19 AM     0      7183    0.00    3.64    0.00    0.00    3.64     3  kworker/u32:9-events_unbound
10:05:19 AM  1000      7401    1.82    1.82    0.00    0.00    3.64     3  top
10:05:19 AM  1000      7427   52.73   20.91    0.00    0.00   73.64     0  server
10:05:19 AM   122      7429    0.91    0.00    0.00    0.00    0.91     1  postgres
10:05:19 AM   122      7430    0.91    0.00    0.00    0.00    0.91     2  postgres
10:05:19 AM   122      7431    0.91    0.00    0.00    0.00    0.91     5  postgres
10:05:19 AM   122      7433    0.91    0.91    0.00    0.00    1.82     1  postgres
10:05:19 AM   122      7438    0.91    0.00    0.00    0.00    0.91     2  postgres
10:05:19 AM   122      7439    0.91    0.00    0.00    0.00    0.91     7  postgres
10:05:19 AM   122      7441    0.91    0.00    0.00    0.00    0.91     5  postgres
10:05:19 AM   122      7442    0.91    0.00    0.00    0.00    0.91     5  postgres
10:05:19 AM   122      7446    0.00    0.91    0.00    0.00    0.91     5  postgres
10:05:19 AM   122      7448    0.91    0.00    0.00    0.00    0.91     5  postgres
10:05:19 AM   122      7449    0.91    0.00    0.00    0.00    0.91     7  postgres
10:05:19 AM   122      7451    0.00    0.91    0.00    0.00    0.91     4  postgres
10:05:19 AM   122      7453    0.91    0.00    0.00    0.00    0.91     7  postgres
10:05:19 AM   122      7456    0.91    0.00    0.00    0.00    0.91     1  postgres
10:05:19 AM   122      7457    0.00    0.91    0.00    0.00    0.91     6  postgres
10:05:19 AM   122      7459    0.91    0.00    0.00    0.00    0.91     2  postgres
10:05:19 AM   122      7463    0.91    0.00    0.00    0.00    0.91     2  postgres
10:05:19 AM   122      7467    0.91    0.00    0.00    0.00    0.91     2  postgres
10:05:19 AM   122      7468    0.91    0.00    0.00    0.00    0.91     2  postgres
10:05:19 AM   122      7469    0.91    0.00    0.00    0.00    0.91     2  postgres
10:05:19 AM   122      7471    0.00    0.91    0.00    0.00    0.91     3  postgres
10:05:19 AM   122      7472    0.91    0.00    0.00    0.00    0.91     2  postgres
10:05:19 AM   122      7474    0.00    0.91    0.00    0.00    0.91     3  postgres
10:05:19 AM   122      7479    0.91    0.91    0.00    0.00    1.82     2  postgres
10:05:19 AM   122      7488    0.91    0.91    0.00    0.00    1.82     5  postgres
10:05:19 AM   122      7490    0.91    0.00    0.00    0.00    0.91     2  postgres
10:05:19 AM   122      7498    0.91    0.00    0.00    0.00    0.91     6  postgres
10:05:19 AM   122      7506    0.91    0.00    0.00    0.00    0.91     3  postgres
10:05:19 AM   122      7507    0.00    0.91    0.00    0.00    0.91     6  postgres
10:05:19 AM   122      7515    0.91    0.00    0.00    0.00    0.91     3  postgres
10:05:19 AM  1000      7542   63.64   25.45    0.00    0.00   89.09     2  load_generator
10:05:19 AM  1000      7548    3.64    3.64    0.00    0.00    7.27     5  pidstat

10:05:19 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:05:20 AM     0       691    0.00    1.00    0.00    0.00    1.00     0  irq/134-rtw88_pci
10:05:20 AM  1000      2138    5.00    2.00    0.00    0.00    7.00     2  gnome-shell
10:05:20 AM  1000      2307    3.00    1.00    0.00    0.00    4.00     5  ibus-daemon
10:05:20 AM  1000      2507    1.00    0.00    0.00    0.00    1.00     5  ibus-extension-
10:05:20 AM  1000      3195    1.00    0.00    0.00    0.00    1.00     7  code
10:05:20 AM  1000      4529   24.00   17.00    0.00    1.00   41.00     4  gnome-terminal-
10:05:20 AM  1000      6605    1.00    0.00    0.00    0.00    1.00     4  nautilus
10:05:20 AM     0      7137    0.00    3.00    0.00    0.00    3.00     1  kworker/u32:0-events_unbound
10:05:20 AM     0      7183    0.00    4.00    0.00    0.00    4.00     3  kworker/u32:9-events_unbound
10:05:20 AM  1000      7427   56.00   18.00    0.00    0.00   74.00     0  server
10:05:20 AM   122      7435    1.00    0.00    0.00    0.00    1.00     2  postgres
10:05:20 AM   122      7443    1.00    0.00    0.00    0.00    1.00     2  postgres
10:05:20 AM   122      7445    0.00    1.00    0.00    0.00    1.00     3  postgres
10:05:20 AM   122      7451    1.00    0.00    0.00    0.00    1.00     2  postgres
10:05:20 AM   122      7456    0.00    1.00    0.00    0.00    1.00     2  postgres
10:05:20 AM   122      7461    1.00    0.00    0.00    0.00    1.00     2  postgres
10:05:20 AM   122      7464    0.00    1.00    0.00    0.00    1.00     7  postgres
10:05:20 AM   122      7470    1.00    0.00    0.00    0.00    1.00     1  postgres
10:05:20 AM   122      7474    1.00    0.00    0.00    0.00    1.00     1  postgres
10:05:20 AM   122      7482    0.00    1.00    0.00    0.00    1.00     1  postgres
10:05:20 AM   122      7483    0.00    1.00    0.00    0.00    1.00     3  postgres
10:05:20 AM   122      7485    0.00    1.00    0.00    0.00    1.00     1  postgres
10:05:20 AM   122      7486    1.00    0.00    0.00    0.00    1.00     7  postgres
10:05:20 AM   122      7489    1.00    0.00    0.00    0.00    1.00     4  postgres
10:05:20 AM   122      7493    0.00    1.00    0.00    0.00    1.00     1  postgres
10:05:20 AM   122      7496    0.00    1.00    0.00    0.00    1.00     1  postgres
10:05:20 AM   122      7497    0.00    1.00    0.00    0.00    1.00     5  postgres
10:05:20 AM   122      7503    1.00    0.00    0.00    0.00    1.00     4  postgres
10:05:20 AM   122      7507    1.00    0.00    0.00    0.00    1.00     3  postgres
10:05:20 AM   122      7509    1.00    0.00    0.00    0.00    1.00     7  postgres
10:05:20 AM   122      7516    1.00    0.00    0.00    0.00    1.00     2  postgres
10:05:20 AM  1000      7542   59.00   27.00    0.00    0.00   86.00     2  load_generator
10:05:20 AM  1000      7548    3.00    5.00    0.00    0.00    8.00     5  pidstat

10:05:20 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:05:21 AM     0        18    0.00    1.00    0.00    0.00    1.00     6  rcu_preempt
10:05:21 AM  1000      4391    1.00    0.00    0.00    0.00    1.00     6  Isolated Web Co
10:05:21 AM  1000      4529   20.00   20.00    0.00    0.00   40.00     4  gnome-terminal-
10:05:21 AM     0      7137    0.00    4.00    0.00    0.00    4.00     2  kworker/u32:0-events_unbound
10:05:21 AM     0      7180    0.00    1.00    0.00    0.00    1.00     0  kworker/0:1-events
10:05:21 AM     0      7183    0.00    4.00    0.00    0.00    4.00     6  kworker/u32:9-events_unbound
10:05:21 AM  1000      7427   53.00   21.00    0.00    0.00   74.00     0  server
10:05:21 AM   122      7434    0.00    1.00    0.00    0.00    1.00     4  postgres
10:05:21 AM   122      7435    0.00    1.00    0.00    0.00    1.00     1  postgres
10:05:21 AM   122      7441    0.00    1.00    0.00    0.00    1.00     5  postgres
10:05:21 AM   122      7445    1.00    0.00    0.00    0.00    1.00     6  postgres
10:05:21 AM   122      7446    1.00    0.00    0.00    0.00    1.00     5  postgres
10:05:21 AM   122      7452    1.00    0.00    0.00    0.00    1.00     1  postgres
10:05:21 AM   122      7461    0.00    1.00    0.00    0.00    1.00     1  postgres
10:05:21 AM   122      7462    1.00    0.00    0.00    0.00    1.00     7  postgres
10:05:21 AM   122      7466    0.00    1.00    0.00    0.00    1.00     7  postgres
10:05:21 AM   122      7469    0.00    1.00    0.00    0.00    1.00     3  postgres
10:05:21 AM   122      7476    0.00    1.00    0.00    0.00    1.00     5  postgres
10:05:21 AM   122      7478    1.00    0.00    0.00    0.00    1.00     3  postgres
10:05:21 AM   122      7481    1.00    0.00    0.00    0.00    1.00     2  postgres
10:05:21 AM   122      7482    1.00    0.00    0.00    0.00    1.00     1  postgres
10:05:21 AM   122      7494    1.00    0.00    0.00    0.00    1.00     3  postgres
10:05:21 AM   122      7495    1.00    0.00    0.00    0.00    1.00     6  postgres
10:05:21 AM   122      7497    1.00    0.00    0.00    0.00    1.00     3  postgres
10:05:21 AM   122      7505    0.00    1.00    0.00    0.00    1.00     3  postgres
10:05:21 AM   122      7506    0.00    1.00    0.00    0.00    1.00     1  postgres
10:05:21 AM   122      7510    1.00    0.00    0.00    0.00    1.00     1  postgres
10:05:21 AM   122      7511    1.00    0.00    0.00    0.00    1.00     3  postgres
10:05:21 AM   122      7512    1.00    0.00    0.00    0.00    1.00     3  postgres
10:05:21 AM   122      7514    1.00    0.00    0.00    0.00    1.00     1  postgres
10:05:21 AM   122      7519    1.00    0.00    0.00    0.00    1.00     5  postgres
10:05:21 AM   122      7522    1.00    0.00    0.00    0.00    1.00     1  postgres
10:05:21 AM  1000      7542   69.00   24.00    0.00    0.00   93.00     2  load_generator
10:05:21 AM  1000      7548    2.00    6.00    0.00    0.00    8.00     5  pidstat

10:05:21 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:05:22 AM     0       486    0.00    1.00    0.00    0.00    1.00     0  irq/80-ELAN0620:01
10:05:22 AM  1000      2138    2.00    1.00    0.00    0.00    3.00     7  gnome-shell
10:05:22 AM  1000      2499    1.00    0.00    0.00    0.00    1.00     6  goa-identity-se
10:05:22 AM  1000      4529   26.00   19.00    0.00    0.00   45.00     1  gnome-terminal-
10:05:22 AM     0      7137    0.00    4.00    0.00    0.00    4.00     5  kworker/u32:0-events_unbound
10:05:22 AM     0      7183    0.00    3.00    0.00    0.00    3.00     4  kworker/u32:9-events_unbound
10:05:22 AM  1000      7401    2.00    3.00    0.00    0.00    5.00     5  top
10:05:22 AM  1000      7427   56.00   22.00    0.00    0.00   78.00     0  server
10:05:22 AM   122      7432    1.00    1.00    0.00    0.00    2.00     2  postgres
10:05:22 AM   122      7434    1.00    0.00    0.00    0.00    1.00     1  postgres
10:05:22 AM   122      7436    1.00    0.00    0.00    0.00    1.00     7  postgres
10:05:22 AM   122      7437    1.00    0.00    0.00    0.00    1.00     2  postgres
10:05:22 AM   122      7454    1.00    0.00    0.00    0.00    1.00     7  postgres
10:05:22 AM   122      7455    1.00    1.00    0.00    0.00    2.00     1  postgres
10:05:22 AM   122      7459    1.00    0.00    0.00    0.00    1.00     3  postgres
10:05:22 AM   122      7460    0.00    1.00    0.00    0.00    1.00     5  postgres
10:05:22 AM   122      7466    1.00    0.00    0.00    0.00    1.00     7  postgres
10:05:22 AM   122      7467    0.00    1.00    0.00    0.00    1.00     2  postgres
10:05:22 AM   122      7473    0.00    1.00    0.00    0.00    1.00     2  postgres
10:05:22 AM   122      7475    1.00    0.00    0.00    0.00    1.00     7  postgres
10:05:22 AM   122      7476    1.00    0.00    0.00    0.00    1.00     3  postgres
10:05:22 AM   122      7477    1.00    0.00    0.00    0.00    1.00     6  postgres
10:05:22 AM   122      7484    1.00    1.00    0.00    0.00    2.00     4  postgres
10:05:22 AM   122      7485    1.00    0.00    0.00    0.00    1.00     2  postgres
10:05:22 AM   122      7491    1.00    0.00    0.00    0.00    1.00     6  postgres
10:05:22 AM   122      7494    0.00    1.00    0.00    0.00    1.00     3  postgres
10:05:22 AM   122      7495    0.00    1.00    0.00    0.00    1.00     2  postgres
10:05:22 AM   122      7496    1.00    0.00    0.00    0.00    1.00     2  postgres
