Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/20/2025 	_x86_64_	(8 CPU)

11:10:39 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:10:40 AM     0        18    0.00    0.91    0.00    0.00    0.91     7  rcu_preempt
11:10:40 AM     0       181    0.00    0.91    0.00    0.00    0.91     7  kworker/7:1H-i915_cleanup
11:10:40 AM     0       486    0.00    0.91    0.00    0.00    0.91     0  irq/80-ELAN0620:01
11:10:40 AM     0       798    0.00    0.91    0.00    0.00    0.91     7  atopacctd
11:10:40 AM  1000      2138    4.55    3.64    0.00    0.00    8.18     1  gnome-shell
11:10:40 AM  1000      3195    0.91    0.00    0.00    0.00    0.91     6  code
11:10:40 AM  1000      3862    0.00    0.91    0.00    0.00    0.91     6  firefox
11:10:40 AM  1000      4529   28.18   22.73    0.00    0.00   50.91     3  gnome-terminal-
11:10:40 AM  1000      6605    2.73    0.00    0.00    0.00    2.73     3  nautilus
11:10:40 AM     0      7017    0.00    0.91    0.00    0.00    0.91     7  kworker/u33:2-i915_flip
11:10:40 AM     0      7137    0.00    1.82    0.00    0.00    1.82     2  kworker/u32:0-flush-8:0
11:10:40 AM     0      8297    0.00    4.55    0.00    0.91    4.55     6  kworker/u32:1-events_unbound
11:10:40 AM     0      8804    0.00    3.64    0.00    0.00    3.64     7  kworker/u32:2-events_unbound
11:10:40 AM  1000     10418   68.18   29.09    0.00    0.00   97.27     0  server
11:10:40 AM   122     10426    0.91    0.00    0.00    0.00    0.91     2  postgres
11:10:40 AM   122     10427    0.00    0.91    0.00    0.00    0.91     7  postgres
11:10:40 AM   122     10431    0.00    0.91    0.00    0.00    0.91     1  postgres
11:10:40 AM   122     10433    0.00    0.91    0.00    0.00    0.91     7  postgres
11:10:40 AM   122     10435    0.91    0.00    0.00    0.00    0.91     4  postgres
11:10:40 AM   122     10436    0.00    0.91    0.00    0.00    0.91     5  postgres
11:10:40 AM   122     10438    0.91    0.91    0.00    0.00    1.82     6  postgres
11:10:40 AM   122     10439    0.91    0.00    0.00    0.00    0.91     5  postgres
11:10:40 AM   122     10440    0.00    0.91    0.00    0.00    0.91     5  postgres
11:10:40 AM   122     10442    0.91    0.91    0.00    0.00    1.82     1  postgres
11:10:40 AM   122     10443    0.91    0.91    0.00    0.00    1.82     5  postgres
11:10:40 AM   122     10444    0.91    0.00    0.00    0.00    0.91     6  postgres
11:10:40 AM   122     10445    0.91    0.00    0.00    0.00    0.91     3  postgres
