Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/20/2025 	_x86_64_	(8 CPU)

10:58:22 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:58:23 AM     0        18    0.00    0.92    0.00    0.00    0.92     5  rcu_preempt
10:58:23 AM     0       129    0.00    0.92    0.00    0.00    0.92     1  kworker/1:1H-i915_cleanup
10:58:23 AM  1000      2138   26.61    6.42    0.00    0.00   33.03     3  gnome-shell
10:58:23 AM  1000      2307    6.42    0.92    0.00    0.00    7.34     5  ibus-daemon
10:58:23 AM  1000      2507    1.83    0.92    0.00    0.00    2.75     1  ibus-extension-
10:58:23 AM  1000      2616    0.92    0.92    0.00    0.00    1.83     2  ibus-engine-sim
10:58:23 AM  1000      3862    0.00    0.92    0.00    0.00    0.92     4  firefox
10:58:23 AM  1000      4391    2.75    0.92    0.00    0.00    3.67     4  Isolated Web Co
10:58:23 AM  1000      4529   23.85    0.92    0.00    0.00   24.77     7  gnome-terminal-
10:58:23 AM  1000      5096   19.27    0.00    0.00    0.00   19.27     6  gedit
10:58:23 AM     0      6193    0.00    0.92    0.00    0.00    0.92     2  kworker/2:2-events
10:58:23 AM  1000      6605    2.75    0.00    0.00    0.00    2.75     5  nautilus
10:58:23 AM     0      7128    0.00    0.92    0.00    0.00    0.92     5  kworker/5:0-events
10:58:23 AM     0      7180    0.00    0.92    0.00    0.92    0.92     0  kworker/0:1-i915-unordered
10:58:23 AM  1000      7401    0.92    2.75    0.00    0.00    3.67     0  top
10:58:23 AM     0      8067    0.00    0.92    0.00    0.00    0.92     1  kworker/u33:0-i915_flip
10:58:23 AM  1000      9505    1.83    3.67    0.00    0.00    5.50     0  pidstat

10:58:23 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:58:24 AM     0        17    0.00    1.00    0.00    0.00    1.00     0  ksoftirqd/0
10:58:24 AM  1000      2138   28.00    7.00    0.00    0.00   35.00     4  gnome-shell
10:58:24 AM  1000      2307    2.00    1.00    0.00    0.00    3.00     2  ibus-daemon
10:58:24 AM  1000      2507    1.00    0.00    0.00    0.00    1.00     0  ibus-extension-
10:58:24 AM  1000      2616    1.00    0.00    0.00    0.00    1.00     2  ibus-engine-sim
10:58:24 AM  1000      2699    0.00    1.00    0.00    0.00    1.00     7  xdg-desktop-por
10:58:24 AM  1000      2852    1.00    0.00    0.00    0.00    1.00     3  code
10:58:24 AM  1000      3195    0.00    1.00    0.00    0.00    1.00     2  code
10:58:24 AM  1000      3862    1.00    0.00    0.00    0.00    1.00     4  firefox
10:58:24 AM  1000      4529   16.00    0.00    0.00    0.00   16.00     7  gnome-terminal-
10:58:24 AM  1000      5096   26.00    1.00    0.00    0.00   27.00     1  gedit
10:58:24 AM     0      8067    0.00    1.00    0.00    0.00    1.00     0  kworker/u33:0-i915_flip
10:58:24 AM     0      8804    0.00    1.00    0.00    0.00    1.00     7  kworker/u32:2-events_unbound
10:58:24 AM  1000      9505    3.00    4.00    0.00    0.00    7.00     0  pidstat

10:58:24 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:58:25 AM     0        17    0.00    1.00    0.00    0.00    1.00     0  ksoftirqd/0
10:58:25 AM     0       486    0.00    1.00    0.00    0.00    1.00     0  irq/80-ELAN0620:01
10:58:25 AM     0       691    0.00    1.00    0.00    0.00    1.00     0  irq/134-rtw88_pci
